"ident","iata_code","name","municipality","iso_country","iso_region"
"00AA","","Aero B Ranch Airport","Leoti","US","US-KS"
"00AK","","Lowell Field","Anchor Point","US","US-AK"
"00AL","","Epps Airpark","Harvest","US","US-AL"
"00AN","","Katmai Lodge Airport","King Salmon","US","US-AK"
"00AS","","Fulton Airport","Alex","US","US-OK"
"00AZ","","Cordes Airport","Cordes","US","US-AZ"
"00CA","","Goldstone (GTS) Airport","Barstow","US","US-CA"
"00CL","","Williams Ag Airport","Biggs","US","US-CA"
"00FA","","Grass Patch Airport","Bushnell","US","US-FL"
"00FL","","River Oak Airport","Okeechobee","US","US-FL"
"00GA","","Lt World Airport","Lithonia","US","US-GA"
"00ID","","Delta Shores Airport","Clark Fork","US","US-ID"
"00IG","","Goltl Airport","McDonald","US","US-KS"
"00IL","","Hammer Airport","Polo","US","US-IL"
"00IS","","Hayenga's Cant Find Farms Airport","Kings","US","US-IL"
"00KS","","Hayden Farm Airport","Gardner","US","US-KS"
"00KY","","Robbins Roost Airport","Stanford","US","US-KY"
"00LS","","Lejeune Airport","Crowley","US","US-LA"
"00MD","","Slater Field","Federalsburg","US","US-MD"
"00MN","","Battle Lake Municipal Airport","Battle Lake","US","US-MN"
"00MO","","Cooper Flying Service Airport","Alba","US","US-MO"
"00N","","Bucks Airport","Bridgeton","US","US-NJ"
"00NC","","North Raleigh Airport","Louisburg","US","US-NC"
"00NY","","Weiss Airfield","West Bloomfield","US","US-NY"
"00OK","","Gull Bay Landing Airport","Sandsprings","US","US-OK"
"00PN","","Ferrell Field","Mercer","US","US-PA"
"00S","","McKenzie Bridge State Airport","Blue River","US","US-OR"
"00SC","","Flying O Airport","Sumter","US","US-SC"
"00SD","","Homan Field","Gary","US","US-SD"
"00TS","","Alpine Range Airport","Everman","US","US-TX"
"00TT","","Nowhere Airport","Goodlett","US","US-TX"
"00VA","","Vaughan Airport","Alton","US","US-VA"
"00VI","","Groundhog Mountain Airport","Hillsville","US","US-VA"
"00W","","Lower Granite State Airport","Colfax","US","US-WA"
"00WA","","Howell Airport","Longbranch","US","US-WA"
"00WI","","Northern Lite Airport","Waupaca","US","US-WI"
"00WN","","Hawks Run Airport","Asotin","US","US-WA"
"00WV","","Lazy J. Aerodrome","Beverly","US","US-WV"
"00XA","","Weeski Ranch Airport","","US","US-TX"
"01A","","Purkeypile Airport","Purkeypile","US","US-AK"
"01AL","","Ware Island Airport","Clanton","US","US-AL"
"01AN","","McHone Heights Airport","Wasilla","US","US-AK"
"01CL","","Swansboro Country Airport","Placerville","US","US-CA"
"01FA","","Rybolt Ranch Airport","Orlando","US","US-FL"
"01FL","","Cedar Knoll Flying Ranch Airport","Geneva","US","US-FL"
"01GE","","The Farm Airport","Wrightsville","US","US-GA"
"01ID","","Lava Hot Springs Airport","Lava Hot Springs","US","US-ID"
"01II","","Myers Field","Lizton","US","US-IN"
"01IS","","William E. Koenig Airport","Dow","US","US-IL"
"01J","","Hilliard Airpark","Hilliard","US","US-FL"
"01K","","Caldwell Municipal Airport","Caldwell","US","US-KS"
"01KS","","Flying N Ranch Airport","Lost Springs","US","US-KS"
"01LA","","Barham Airport","Oak Ridge","US","US-LA"
"01LL","","Schumaier Restricted Landing Area","Pinckneyville","US","US-IL"
"01LS","","Country Breeze Airport","Slaughter","US","US-LA"
"01MT","","Crystal Lakes Resort Airport","Fortine","US","US-MT"
"01NC","","Topsail Airpark","Holly Ridge","US","US-NC"
"01NH","","Moore Airfield","Canaan","US","US-NH"
"01NM","","Champion Ranch Airport","Lake Arthur","US","US-NM"
"01NV","","Lantana Ranch Airport","Yerington","US","US-NV"
"01OL","","Spring Creek Ranch East Airport","Tishomingo","US","US-OK"
"01PN","","Bierly(Personal Use) Airport","Bellefonte","US","US-PA"
"01PS","","Nort's Resort Airport","Meshoppen","US","US-PA"
"01SC","","York Airport","York","US","US-SC"
"01TE","","Smith Field","Forney","US","US-TX"
"01TN","","Colonial Air Park","Collierville","US","US-TN"
"01U","","Duckwater Airport","Duckwater","US","US-NV"
"01UT","","La Sal Junction Airport","La Sal","US","US-UT"
"01VA","","Pickles Airport","Berryville","US","US-VA"
"01WY","","Keyhole Airport","Pine Haven","US","US-WY"
"02AA","","Barefoot Airport","Big Lake","US","US-AK"
"02AK","","Rustic Wilderness Airport","Willow","US","US-AK"
"02AL","","Bass Field","Foley","US","US-AL"
"02AN","","Emerald Ridge Airport","Homer","US","US-AK"
"02CD","","Shannon Field","Clarksdale","US","US-MS"
"02CL","","Conover Air Lodge Airport","Frazier Park","US","US-CA"
"02CO","","Mc Cullough Airport","Monte Vista","US","US-CO"
"02FA","","Osborn Airfield","Groveland","US","US-FL"
"02FD","","Triple R Ranch Airport","Baker","US","US-FL"
"02GA","","Doug Bolton Field","Commerce","US","US-GA"
"02GE","","Etowah Fields Airport","Euharlee","US","US-GA"
"02ID","","Morgan Ranch Airport","Cascade","US","US-ID"
"02II","","King Ultralightport","Westfield","US","US-IN"
"02IN","","Diamond P. Field","Muncie","US","US-IN"
"02KS","","JMJ Landing Airport","Saint Marys","US","US-KS"
"02MD","","Garner Field","Brandywine","US","US-MD"
"02ME","","Nadeau's Airfield","Acton","US","US-ME"
"02MI","","Fairplains Airpark","Greenville","US","US-MI"
"02MO","","Troy Airpark","Troy","US","US-MO"
"02MS","","Watts Field","Rochdale","US","US-MS"
"02NE","","Benes Service Airport","Valparaiso","US","US-NE"
"02NM","","FFR Animas Landing Strip","Animas","US","US-NM"
"02NV","","Paiute Meadows Airport","Winnemucca","US","US-NV"
"02OH","","Zimmerman Airport","Fremont","US","US-OH"
"02OI","","Murtha Airport","Conneaut","US","US-OH"
"02OR","","Rowena Dell Airport","The Dalles","US","US-OR"
"02PR","","Cuylers Airport","Vega Baja","PR","PR-U-A"
"02SC","","Harpers Airport","Estill","US","US-SC"
"02T","","Wise River Airport","Wise River","US","US-MT"
"02TN","","Ellis Field","Rockvale","US","US-TN"
"02UT","","Lucin Airport","Lucin","US","US-UT"
"02VA","","The Greenhouse Airport","Culpeper","US","US-VA"
"02WA","","Cawleys South Prairie Airport","South Prairie","US","US-WA"
"02WI","","Beer Airport","Hudson","US","US-WI"
"02WN","","Fowler Field","Tonasket","US","US-WA"
"02XA","","JLS Farms Airport","Honey Grove","US","US-TX"
"03AZ","","Thompson International Aviation Airport","Hereford","US","US-AZ"
"03FA","","Lake Persimmon Airstrip","Lake Placid","US","US-FL"
"03GA","","HIA Airport","Statesboro","US","US-GA"
"03ID","","Flying Y Ranch Airport","Council","US","US-ID"
"03II","","Davis Field Ultralightport","Mount Vernon","US","US-IN"
"03IL","","Wix Airport","Monee","US","US-IL"
"03IN","","Heinzman Airport","Arcadia","US","US-IN"
"03KY","","Flying H Farms Airport","Henderson","US","US-KY"
"03MA","","Hadley Airport","Hadley","US","US-MA"
"03ME","","Maple Ridge Airport","Harrison","US","US-ME"
"03MN","","Nauerth Land Ranch Airport","Lakefield","US","US-MN"
"03MT","","Cascade Field","Cascade","US","US-MT"
"03MU","","McDonnell Airport","Archie","US","US-MO"
"03N","UTK","Utirik Airport","Utirik Island","MH","MH-UTI"
"03NC","","Pilots Ridge Airport","Carolina Beach","US","US-NC"
"03ND","","Olafson Brothers Airport","Edinburg","US","US-ND"
"03NE","","Hyde Ranch Airport","Comstock","US","US-NE"
"03NV","","Llama Ranch Airport","Ruby Valley","US","US-NV"
"03NY","","Talmage Field","Riverhead","US","US-NY"
"03OH","","Gibbs Field","Fremont","US","US-OH"
"03OK","","Sahoma Lake Airport","Sapulpa","US","US-OK"
"03OL","","Bluebird Airport","Alex","US","US-OK"
"03OR","","Powwatka Ridge Airport","Troy","US","US-OR"
"03PR","","Sun View Field Airport","Bonner Springs","US","US-KS"
"03S","","Sandy River Airport","Sandy","US","US-OR"
"03TE","","Barronena Ranch Airport","Hebbronville","US","US-TX"
"03TT","","Brazos Polo Airport","Orchard","US","US-TX"
"03UT","","AZ Minerals Corporation Airport","Mexican Hat","US","US-UT"
"03WA","","Spangle Field","Spangle","US","US-WA"
"03WN","","Aerostone Ranch Airport","Goldendale","US","US-WA"
"03XS","","Creekside Airport","Mertzon","US","US-TX"
"04AA","","Flying W Ranch Airport","Soldotna","US","US-AK"
"04AN","","North 40 Airport","Sutton","US","US-AK"
"04CA","","Gray Butte Field","Palmdale","US","US-CA"
"04CL","","Hunt's Sky Ranch Airport","Julian","US","US-CA"
"04FA","","Richards Field","Homestead","US","US-FL"
"04FL","","Cross Creek Farms Airport","Ormond Beach","US","US-FL"
"04I","","Columbus Southwest Airport","Columbus","US","US-OH"
"04IA","","Middlekoop Airport","Packwood","US","US-IA"
"04ID","","Lanham Field","Emmett","US","US-ID"
"04IL","","Schertz Aerial Service - Hudson Airport","Hudson","US","US-IL"
"04IS","","Van Gorder Airport","Mansfield","US","US-IL"
"04KY","","Natchez Trace Farm Airport","Hiseville","US","US-KY"
"04MA","","Goddard Field","Haverhill","US","US-MA"
"04ME","","Beech Hill Airport","Mercer","US","US-ME"
"04MI","","Rapids Airway Airport","Eaton Rapids","US","US-MI"
"04MN","","Helblad Airport","Kelliher","US","US-MN"
"04MS","","Nick's Flying Service Inc Airport","Rolling Fork","US","US-MS"
"04MT","","Pluhar Airport","Cohagen","US","US-MT"
"04NE","","Mc Connell Field Airport","Sarben","US","US-NE"
"04NJ","","Emmanuel Airport","Elmer","US","US-NJ"
"04NV","","Kingston Ranch Airport","Sandy Valley","US","US-NV"
"04NY","","Klaverack Airport","Hudson","US","US-NY"
"04OR","","Collins Landing Strip","Mitchell","US","US-OR"
"04TN","","Hensley Airpark","Chuckey","US","US-TN"
"04TT","","4D Ranch Airport","Utopia","US","US-TX"
"04TX","","Pocock Airport","China Spring","US","US-TX"
"04UT","","Navajo Mountain Airport","Navajo Mountain","US","US-UT"
"04V","","Saguache Municipal Airport","Saguache","US","US-CO"
"04VG","","Manquin Flight Park Ultralightport","Manquin","US","US-VA"
"04VT","","Lightning Bolt Field Airport","Cabot","US","US-VT"
"04W","","Field of Dreams Airport","Hinckley","US","US-MN"
"04WA","","Ox Meadows Airport","Spokane","US","US-WA"
"04WI","","Dutch Gap Airstrip","Bristol","US","US-WI"
"04WN","","Stillwater Creek Airport","Royal City","US","US-WA"
"04XA","","Pecan Field","Jermyn","US","US-TX"
"05AK","","Wasilla Creek Airpark","Palmer","US","US-AK"
"05AN","","Wetons Aerodrome","Fox","US","US-AK"
"05AR","","Ozark Skies Airpark","Kingston","US","US-AR"
"05CL","","Pope Valley Airport","Pope Valley","US","US-CA"
"05CO","","Rancho de Aereo Airport","Mead","US","US-CO"
"05FA","","Melanie's Airport","Florala","US","US-FL"
"05FL","","Charlton Strip","La Belle","US","US-FL"
"05GA","","Raju Airport","Richland","US","US-GA"
"05IA","","Spotts Field","Nora Springs","US","US-IA"
"05ID","","Running Creek Ranch Airport","Elk City","US","US-ID"
"05IL","","Classic Landings Airport","Bonfield","US","US-IL"
"05IN","","Cooper Airport","Belleville","US","US-IN"
"05IS","","Hardy Airport","Mount Auburn","US","US-IL"
"05KS","","Darbro Field","Elk City","US","US-KS"
"05KT","","High Point Farm Airport","Frankfort","US","US-KY"
